sense_question,wordnet_sense
brown adj_understand_2,brown.s.02
brown n_say_1,brown.n.01
brown n_say_2,brown_university.n.01
brown v_say_1,brown.v.01
brown v_say_2,embrown.v.02
brown v_understand_1,brown.v.01
brown v_understand_2,embrown.v.02
brush n_say_1,brush.n.01
brush n_say_2,brush.n.02
brush n_say_3,brush.n.03
brush n_say_4,brush.n.05
brush n_say_5,brush.n.06
brush n_say_6,brush.n.07
brush n_say_7,brush.n.08
brush n_say_8,brush.n.09
brush v_say_1,brush.v.01
brush v_say_2,brush.v.02
brush v_say_3,brush.v.03
brush v_say_4,brush.v.04
brush v_say_5,brush.v.05
brush v_say_6,brush.v.06
brush v_understand_1,brush.v.01
brush v_understand_2,brush.v.02
brush v_understand_3,brush.v.03
brush v_understand_4,brush.v.04
brush v_understand_5,brush.v.05
brush v_understand_6,brush.v.06
bubbles n_say_1,bubble.n.01
bubbles n_say_2,bubble.n.03
bubbles n_say_3,bubble.n.04
bubbles v_say_1,bubble.v.01
bubbles v_say_2,ripple.v.02
bubbles v_say_3,bubble.v.03
bubbles v_say_4,bubble.v.04
bubbles v_say_5,burp.v.01
bubbles v_understand_1,bubble.v.01
bubbles v_understand_2,ripple.v.02
bubbles v_understand_3,bubble.v.03
bubbles v_understand_4,bubble.v.04
bubbles v_understand_5,burp.v.01
bucket n_say_1,bucket.n.01
bucket n_say_2,bucket.n.02
bucket v_say_1,bucket.v.01
bucket v_say_2,bucket.v.02
bucket v_understand_1,bucket.v.01
bucket v_understand_2,bucket.v.02
bug n_say_1,bug.n.01
bug n_say_2,bug.n.02
bug n_say_3,bug.n.03
bug n_say_4,hemipterous_insect.n.01
bug n_say_5,microbe.n.01
bug v_say_1,tease.v.01
bug v_say_2,wiretap.v.01
bug v_understand_1,tease.v.01
bug v_understand_2,wiretap.v.01
build n_say_1,physique.n.01
build n_say_2,human_body.n.01
build v_say_1,construct.v.01
build v_say_2,build_up.v.02
build v_say_3,build.v.03
build v_say_4,build.v.05
build v_say_5,build.v.06
build v_say_6,build.v.07
build v_say_7,build.v.08
build v_say_8,build_up.v.04
build v_say_9,build.v.10
build v_understand_1,construct.v.01
build v_understand_2,build_up.v.02
build v_understand_3,build.v.03
build v_understand_4,build.v.05
build v_understand_5,build.v.06
build v_understand_6,build.v.07
build v_understand_7,build.v.08
build v_understand_8,build_up.v.04
build v_understand_9,build.v.10
bump n_say_1,bump.n.01
bump n_say_2,bulge.n.01
bump n_say_3,blow.n.02
bump v_say_1,bump.v.01
bump v_say_2,find.v.01
bump v_say_3,demote.v.01
bump v_say_4,dislodge.v.03
bump v_understand_1,bump.v.01
bump v_understand_2,find.v.01
bump v_understand_3,demote.v.01
bump v_understand_4,dislodge.v.03
bunny n_say_1,bunny.n.02
bus n_say_1,bus.n.01
bus n_say_2,bus.n.04
bus v_say_1,bus.v.01
bus v_say_2,bus.v.02
bus v_say_3,bus.v.03
bus v_understand_1,bus.v.01
bus v_understand_2,bus.v.02
bus v_understand_3,bus.v.03
butt n_say_1,butt.n.01
butt n_say_2,butt.n.02
butt n_say_3,butt.n.03
butt n_say_4,buttocks.n.01
butt n_say_5,target.n.04
butt n_say_6,cigarette.n.01
butt n_say_7,butt_joint.n.01
butt n_say_8,butt.n.09
butt v_say_1,border.v.05
butt v_say_2,butt.v.02
butt v_say_3,butt.v.03
butt v_understand_1,border.v.05
butt v_understand_2,butt.v.02
butt v_understand_3,butt.v.03
butter n_say_1,butter.n.01
butter v_say_1,butter.v.01
butter v_understand_1,butter.v.01
butterfly n_say_1,butterfly.n.01
